Id kategorie;Název kategorie;Maximální cena za proklik
126;Poèítaèe/Pøíslušenství pro notebooky/Adaptéry k notebookùm;
127;Poèítaèe/Pøíslušenství pro notebooky/Brašny, batohy a pouzdra pro notebooky;
128;Poèítaèe/Ukládání dat/USB Flash disky;
130;Poèítaèe/Software/Antiviry a ochrana dat;
131;Poèítaèe/Software/Grafickı a video software;
132;Poèítaèe/Software/Kanceláøské aplikace;
133;Poèítaèe/Software/Operaèní systémy;
134;Poèítaèe/Stolní poèítaèe;
136;Poèítaèe/Poèítaèové pøíslušenství/Tiskárny a pøíslušenství/Multifunkèní zaøízení;
137;Poèítaèe/Poèítaèové pøíslušenství/Tiskárny a pøíslušenství/Náplnì a tonery;
138;Poèítaèe/Poèítaèové pøíslušenství/Tiskárny a pøíslušenství/Tiskárny;
139;Poèítaèe/Poèítaèové pøíslušenství/Skenery;
140;Poèítaèe/Poèítaèové pøíslušenství/Webkamery;
144;Kanceláø/Kanceláøská technika/Kalkulaèky;
147;Kanceláø/Kanceláøská technika/Laminátory;
149;Kanceláø/Kanceláøská technika/Skartovaèky;
150;Poèítaèe/Poèítaèové pøíslušenství/Tiskárny a pøíslušenství/Tiskárny štítkù;
154;Kanceláø/Kanceláøské potøeby/Korekèní a lepicí prostøedky/Kanceláøská lepidla;
155;Kanceláø/Kanceláøské potøeby/Korekèní a lepicí prostøedky/Korekèní prostøedky;
156;Kanceláø/Kanceláøské potøeby/Korekèní a lepicí prostøedky/Lepicí pásky;
157;Kanceláø/Kanceláøské potøeby/Nùky a otvíraèe obálek/Otvíraèe obálek;
159;Kanceláø/Kanceláøské potøeby/Archivace a organizace dokumentù/Sešívaèky a rozešívaèky;
160;Kanceláø/Kanceláøské potøeby/Archivace a organizace dokumentù/Dìrovaèky;
163;Domácí spotøebièe/Vzduchotechnika/Zvlhèovaèe vzduchu;
164;Domácí spotøebièe/Vzduchotechnika/Domácí ventilátory;
165;Domácí spotøebièe/Vzduchotechnika/Klimatizace;
167;Domácí spotøebièe/Vzduchotechnika/Topidla/Teplovzdušné ventilátory;
168;Domácí spotøebièe/Vzduchotechnika/Topidla/Pøímotopy;
169;Domácí spotøebièe/Vzduchotechnika/Topidla/Olejové radiátory;
170;Domácí spotøebièe/Vzduchotechnika/Topidla/Záøièe;
173;Domácí spotøebièe/Kuchyòské spotøebièe/Vaøení/Domácí pekárny;
174;Domácí spotøebièe/Kuchyòské spotøebièe/Vaøení/Fritovací hrnce;
175;Domácí spotøebièe/Kuchyòské spotøebièe/Vaøení/Kuchyòské grily;
176;Domácí spotøebièe/Kuchyòské spotøebièe/Pøíprava nápojù/Pøíprava kávy/Mlınky na kávu;
177;Domácí spotøebièe/Kuchyòské spotøebièe/Pøíprava nápojù/Pøíprava kávy/Kávovary a espressa;
178;Domácí spotøebièe/Kuchyòské spotøebièe/Pomocníci do kuchynì/Kuchyòské krájeèe;
